TAXON	ORDER	FAMILY	HYP	LOP	FCT_HOD	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM	last_checked	last_update
Antilocapra americana	Artiodactyla	Antilocapridae	3	2	1	0	1	0	0	0	NA	NA
Addax nasomaculatus	Artiodactyla	Bovidae	3	2	1	0	1	1	0	0	NA	NA
Aepyceros melampus	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Alcelaphus buselaphus	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA
Alcelaphus caama	Artiodactyla	Bovidae	3	NA	1	0	1	0	1	0	NA	NA
Alcelaphus lichtensteinii	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA
Ammodorcas clarkei	Artiodactyla	Bovidae	1	2	1	0	1	0	0	0	NA	NA
Ammotragus lervia	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Antidorcas marsupialis	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Antilope cervicapra	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Beatragus hunteri	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA
Bison bison	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA
Bison bonasus	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA
Bos frontalis	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA
Bos grunniens	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA
Bos javanicus	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA
Bos sauveli	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA
Bos taurus	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA
Boselaphus tragocamelus	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Bubalus bubalis	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA
Bubalus depressicornis	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA
Bubalus mindorensis	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA
Bubalus quarlesi	Artiodactyla	Bovidae	3	2	1	0	1	0	1	1	NA	NA
Budorcas taxicolor	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Capra caucasica	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Capra cylindricornis	Artiodactyla	Bovidae	3	NA	1	0	1	0	0	0	NA	NA
Capra falconeri	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Capra hircus	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Capra ibex	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Capra nubiana	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Capra pyrenaica	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Capra sibirica	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Capra walie	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Capricornis crispus	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Capricornis milneedwardsii	Artiodactyla	Bovidae	3	NA	1	0	1	0	0	0	NA	NA
Capricornis rubidus	Artiodactyla	Bovidae	3	NA	1	0	1	0	0	0	NA	NA
Capricornis sumatraensis	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Capricornis swinhoei	Artiodactyla	Bovidae	2	2	1	0	1	0	0	0	NA	NA
Capricornis thar	Artiodactyla	Bovidae	3	NA	1	0	1	0	0	0	NA	NA
Cephalophus adersi	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus brookei	Artiodactyla	Bovidae	2	NA	1	0	1	1	0	0	NA	NA
Cephalophus callipygus	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus dorsalis	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus harveyi	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus jentinki	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus leucogaster	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus maxwellii	Artiodactyla	Bovidae	1	NA	1	0	1	0	0	0	NA	NA
Cephalophus natalensis	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus niger	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus nigrifrons	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus ogilbyi	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus rufilatus	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus silvicultor	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus spadix	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus weynsi	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Cephalophus zebra	Artiodactyla	Bovidae	2	2	1	0	1	1	0	0	NA	NA
Connochaetes gnou	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA
Connochaetes taurinus	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA
Damaliscus korrigum	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA
Damaliscus lunatus	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA
Damaliscus pygargus	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	NA	NA
Damaliscus superstes	Artiodactyla	Bovidae	3	NA	1	0	1	0	1	0	NA	NA
Dorcatragus megalotis	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Eudorcas rufifrons	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Eudorcas rufina	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Eudorcas thomsonii	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Gazella arabica	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Gazella bennettii	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
Gazella cuvieri	Artiodactyla	Bovidae	2	2	1	0	1	0	0	0	NA	NA
Gazella dorcas	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	NA	NA
